party,score,orientation,counts,random_state
Autonomy Liberty Participation Ecology,0.4590909090909091,Other,220,0
Civic Choice,0.0,Left-wing,3,0
M5S,0.4092664092664093,Other,259,0
LeU,0.0875912408759124,Left-wing,137,0
Communist Refoundation Party,0.0875,Left-wing,240,0
PD,0.0757575757575757,Left-wing,792,0
Northern League,0.8518518518518519,Right-wing,27,0
European Democracy,0.1923076923076923,Other,52,0
The Olive Tree,0.0746268656716417,Left-wing,67,0
Civil Revolution,0.7142857142857143,Left-wing,7,0
Labour and Freedom List,0.1555555555555555,Right-wing,135,0
The Union,0.0619469026548672,Left-wing,113,0
Democratic Center,0.1304347826086956,Other,69,0
Brothers of Italy,0.1666666666666666,Right-wing,6,0
SVP,0.1910112359550561,Left-wing,89,0
PaP,0.4285714285714285,Left-wing,70,0
SEL,0.1027397260273972,Left-wing,146,0
UDC,0.2033898305084746,Other,59,0
PdL,0.1363636363636363,Right-wing,682,0
Italy of Values,0.1992574257425742,Other,808,0
Forward Italy,0.0930232558139534,Right-wing,215,0
Houses of Freedom,0.1171818835370237,Right-wing,1391,0
Casapound,0.0048543689320388,Right-wing,824,0
Autonomy Liberty Participation Ecology,0.4051282051282051,Other,195,1
Civic Choice,0.2462686567164179,Left-wing,134,1
M5S,0.4729729729729729,Other,370,1
LeU,0.2907801418439716,Left-wing,423,1
Communist Refoundation Party,0.4583333333333333,Left-wing,48,1
PD,0.4888888888888889,Left-wing,45,1
Civil Revolution,0.2746478873239437,Left-wing,142,1
Northern League,0.4023668639053254,Right-wing,169,1
The Olive Tree,0.0,Left-wing,3,1
Labour and Freedom List,0.0125523012552301,Right-wing,239,1
The Union,0.6153846153846154,Left-wing,13,1
Democratic Center,0.2071197411003236,Other,618,1
Brothers of Italy,0.3953488372093023,Right-wing,86,1
SVP,0.5509259259259259,Left-wing,216,1
European Democracy,0.1777777777777777,Other,90,1
SEL,0.2068965517241379,Left-wing,58,1
UDC,0.4505494505494505,Other,91,1
PaP,0.7789473684210526,Left-wing,190,1
PdL,0.4558823529411764,Right-wing,68,1
Italy of Values,0.4102870813397129,Other,836,1
Forward Italy,0.5242966751918159,Right-wing,391,1
Houses of Freedom,0.3478260869565217,Right-wing,230,1
Casapound,0.2623574144486692,Right-wing,263,1
Autonomy Liberty Participation Ecology,0.1785714285714285,Other,28,2
Civic Choice,0.2,Left-wing,5,2
M5S,0.4094488188976378,Other,127,2
European Democracy,0.171875,Other,64,2
Communist Refoundation Party,0.1428571428571428,Left-wing,77,2
PD,0.2618384401114206,Left-wing,359,2
Civil Revolution,0.0947546531302876,Left-wing,591,2
Northern League,0.3425925925925926,Right-wing,108,2
LeU,0.1726618705035971,Left-wing,139,2
The Olive Tree,0.0833333333333333,Left-wing,12,2
Labour and Freedom List,0.1464646464646464,Right-wing,396,2
The Union,0.4,Left-wing,35,2
Democratic Center,0.2100456621004566,Other,219,2
Brothers of Italy,0.3137254901960784,Right-wing,51,2
SVP,0.2549019607843137,Left-wing,204,2
SEL,0.0079365079365079,Left-wing,252,2
UDC,0.1517027863777089,Other,323,2
PaP,0.2941176470588235,Left-wing,17,2
PdL,0.3473684210526316,Right-wing,475,2
Italy of Values,0.3108108108108108,Other,74,2
Forward Italy,0.2327586206896551,Right-wing,232,2
Houses of Freedom,0.3442622950819672,Right-wing,1098,2
Casapound,0.1806853582554517,Right-wing,321,2
Autonomy Liberty Participation Ecology,0.6666666666666666,Other,3,3
Civic Choice,0.3251533742331288,Left-wing,163,3
M5S,0.6215139442231076,Other,251,3
European Democracy,0.1864406779661017,Other,236,3
LeU,0.2444444444444444,Left-wing,90,3
PD,0.3174603174603174,Left-wing,126,3
Northern League,0.6175115207373272,Right-wing,217,3
Civil Revolution,0.4838709677419355,Left-wing,62,3
The Olive Tree,0.3571428571428571,Left-wing,56,3
Communist Refoundation Party,0.2266666666666666,Left-wing,75,3
Labour and Freedom List,0.00836820083682,Right-wing,239,3
The Union,0.2608695652173913,Left-wing,92,3
Democratic Center,0.1911764705882352,Other,68,3
Brothers of Italy,0.5248618784530387,Right-wing,181,3
SVP,0.3851851851851852,Left-wing,135,3
SEL,0.5198237885462555,Left-wing,227,3
UDC,0.2897196261682243,Other,214,3
PaP,0.5454545454545454,Left-wing,11,3
PdL,0.6771084337349398,Right-wing,415,3
Italy of Values,0.3415442918048318,Other,2111,3
Forward Italy,0.2439382806759735,Right-wing,1361,3
Houses of Freedom,0.5106382978723404,Right-wing,94,3
Casapound,0.4827586206896552,Right-wing,87,3
Autonomy Liberty Participation Ecology,0.6666666666666666,Other,72,4
Civic Choice,0.6111111111111112,Left-wing,54,4
M5S,0.6805555555555556,Other,144,4
LeU,0.5098039215686274,Left-wing,51,4
Communist Refoundation Party,0.5119047619047619,Left-wing,84,4
PD,0.4844632768361582,Left-wing,708,4
Northern League,0.8979591836734694,Right-wing,98,4
Civil Revolution,0.7647058823529411,Left-wing,17,4
The Olive Tree,0.4308943089430894,Left-wing,123,4
European Democracy,0.3333333333333333,Other,3,4
Labour and Freedom List,0.5555555555555556,Right-wing,9,4
The Union,0.453781512605042,Left-wing,238,4
Democratic Center,0.556390977443609,Other,133,4
Brothers of Italy,0.6,Right-wing,20,4
SVP,0.68,Left-wing,75,4
SEL,0.2279874213836478,Left-wing,636,4
UDC,0.4029304029304029,Other,273,4
PaP,1.0,Left-wing,25,4
PdL,0.5351123595505618,Right-wing,712,4
Italy of Values,0.4835164835164835,Other,546,4
Forward Italy,0.4158415841584158,Right-wing,707,4
Houses of Freedom,0.5277435265104808,Right-wing,811,4
Casapound,0.6271186440677966,Right-wing,236,4
Autonomy Liberty Participation Ecology,0.1333333333333333,Other,15,5
Civic Choice,0.25,Left-wing,52,5
M5S,0.7142857142857143,Other,77,5
LeU,0.3333333333333333,Left-wing,3,5
Communist Refoundation Party,0.1968503937007874,Left-wing,127,5
PD,0.4744186046511628,Left-wing,215,5
Northern League,0.7522727272727273,Right-wing,440,5
Civil Revolution,0.105,Left-wing,200,5
The Olive Tree,0.3787878787878788,Left-wing,66,5
Labour and Freedom List,0.2760290556900726,Right-wing,413,5
The Union,0.3636363636363636,Left-wing,11,5
Democratic Center,0.2222222222222222,Other,9,5
Brothers of Italy,0.6111111111111112,Right-wing,54,5
SVP,0.5595238095238095,Left-wing,84,5
European Democracy,0.1142410015649452,Other,639,5
SEL,0.5652173913043478,Left-wing,69,5
UDC,0.4193548387096774,Other,186,5
PaP,0.625,Left-wing,104,5
PdL,0.2597173144876325,Right-wing,1132,5
Italy of Values,0.4854881266490765,Other,379,5
Forward Italy,0.3,Right-wing,30,5
Houses of Freedom,0.3160032493907392,Right-wing,1231,5
Casapound,0.5805084745762712,Right-wing,236,5
Autonomy Liberty Participation Ecology,0.7560975609756098,Other,82,6
Civic Choice,0.75,Left-wing,4,6
M5S,0.7877094972067039,Other,179,6
European Democracy,0.4166666666666667,Other,24,6
Communist Refoundation Party,0.5533980582524272,Left-wing,103,6
PD,0.4024767801857585,Left-wing,323,6
Northern League,0.6989795918367347,Right-wing,196,6
Civil Revolution,0.6666666666666666,Left-wing,66,6
The Olive Tree,0.4141876430205949,Left-wing,437,6
LeU,1.0,Left-wing,1,6
Labour and Freedom List,0.8333333333333334,Right-wing,6,6
The Union,0.5877862595419847,Left-wing,131,6
Democratic Center,0.2824427480916031,Other,262,6
Brothers of Italy,0.4444444444444444,Right-wing,9,6
SVP,0.145,Left-wing,200,6
PaP,0.6563876651982379,Left-wing,227,6
SEL,0.2172573189522342,Left-wing,649,6
UDC,0.4174757281553398,Other,206,6
PdL,0.5230769230769231,Right-wing,650,6
Italy of Values,0.5471311475409836,Other,488,6
Forward Italy,0.6014319809069213,Right-wing,419,6
Houses of Freedom,0.5427350427350427,Right-wing,234,6
Casapound,0.5121951219512195,Right-wing,82,6
Autonomy Liberty Participation Ecology,0.273972602739726,Other,73,7
Civic Choice,0.2802547770700637,Left-wing,157,7
M5S,0.3662790697674418,Other,172,7
LeU,0.4444444444444444,Left-wing,27,7
Communist Refoundation Party,0.2857142857142857,Left-wing,28,7
PD,0.4801444043321299,Left-wing,277,7
Civil Revolution,0.2534246575342466,Left-wing,146,7
Northern League,0.806282722513089,Right-wing,191,7
The Olive Tree,0.4285714285714285,Left-wing,7,7
Labour and Freedom List,0.5454545454545454,Right-wing,11,7
The Union,0.3384615384615385,Left-wing,130,7
Democratic Center,0.1365853658536585,Other,615,7
Brothers of Italy,0.5955882352941176,Right-wing,136,7
