party,score,orientation,counts,random_state
Socialist Party,0.1911764705882352,Left-wing,204,0
Union of Democrats and Independents,0.2597402597402597,Right-wing,77,0
Left Radical Party,0.1940298507462686,Left-wing,201,0
Centrist Alliance,0.3414634146341463,Other,123,0
Indomitable France,0.618421052631579,Left-wing,152,0
New Centre,0.1535714285714285,Other,280,0
Left Front,0.3265306122448979,Left-wing,98,0
Democratic Mouvement,0.2567164179104477,Right-wing,335,0
Radical Party,0.3809523809523809,Right-wing,21,0
Republic Onwards!,0.2895522388059701,Other,335,0
Union for a Popular Movement,0.2790091264667536,Right-wing,767,0
National Front,0.5420944558521561,Right-wing,487,0
The Greens,0.2521891418563923,Left-wing,571,0
Debout la France,0.3047945205479452,Right-wing,292,0
Nouveau Parti Anticapitaliste,0.3523316062176165,Left-wing,386,0
French Communist Party,0.300187617260788,Left-wing,533,0
Resistons,0.2952898550724637,Left-wing,552,0
Socialist Party,0.1694915254237288,Left-wing,354,1
Union of Democrats and Independents,0.3333333333333333,Right-wing,27,1
Left Radical Party,0.2352941176470588,Left-wing,221,1
Centrist Alliance,0.1286307053941908,Other,241,1
Indomitable France,0.4680851063829787,Left-wing,141,1
New Centre,0.145679012345679,Other,405,1
Democratic Mouvement,0.1434108527131783,Right-wing,516,1
Left Front,0.1204819277108433,Left-wing,83,1
Radical Party,0.1333333333333333,Right-wing,75,1
Republic Onwards!,0.1929824561403508,Other,57,1
Union for a Popular Movement,0.2704626334519573,Right-wing,562,1
National Front,0.3849056603773585,Right-wing,265,1
The Greens,0.2144212523719165,Left-wing,1581,1
Debout la France,0.1282051282051282,Right-wing,39,1
Nouveau Parti Anticapitaliste,0.2576,Left-wing,625,1
French Communist Party,0.1228070175438596,Left-wing,228,1
Resistons,0.1508196721311475,Left-wing,305,1
Union of Democrats and Independents,0.2375,Right-wing,80,2
Socialist Party,0.2772585669781931,Left-wing,321,2
Left Radical Party,0.1836734693877551,Left-wing,294,2
Centrist Alliance,0.1724137931034483,Other,29,2
New Centre,0.1717557251908397,Other,262,2
Left Front,0.1290322580645161,Left-wing,155,2
Democratic Mouvement,0.1842105263157894,Right-wing,646,2
Union for a Popular Movement,0.1792975970425138,Right-wing,541,2
Radical Party,0.128,Right-wing,250,2
Republic Onwards!,0.2105263157894736,Other,19,2
Indomitable France,0.2,Left-wing,75,2
National Front,0.4267241379310345,Right-wing,232,2
The Greens,0.1983715766099185,Left-wing,1351,2
Debout la France,0.2318840579710145,Right-wing,552,2
Nouveau Parti Anticapitaliste,0.3937823834196891,Left-wing,193,2
French Communist Party,0.1819887429643527,Left-wing,533,2
Resistons,0.25,Left-wing,292,2
Socialist Party,0.1535269709543568,Left-wing,482,3
Union of Democrats and Independents,0.28,Right-wing,100,3
Left Radical Party,0.2263157894736842,Left-wing,190,3
Centrist Alliance,0.2135231316725978,Other,281,3
New Centre,0.2018348623853211,Other,109,3
Democratic Mouvement,0.1792828685258964,Right-wing,251,3
Left Front,0.0928270042194092,Left-wing,237,3
Union for a Popular Movement,0.1078431372549019,Right-wing,204,3
Radical Party,0.2068965517241379,Right-wing,116,3
Republic Onwards!,0.14,Other,100,3
Indomitable France,0.2553191489361702,Left-wing,94,3
National Front,0.4870967741935484,Right-wing,310,3
The Greens,0.1852216748768473,Left-wing,1015,3
Debout la France,0.2270147559591373,Right-wing,881,3
Nouveau Parti Anticapitaliste,0.1712,Left-wing,625,3
French Communist Party,0.1740104555638536,Left-wing,1339,3
Resistons,0.1480730223123732,Left-wing,493,3
Socialist Party,0.243362831858407,Left-wing,452,4
Union of Democrats and Independents,0.2,Right-wing,30,4
Left Radical Party,0.2044025157232704,Left-wing,636,4
Centrist Alliance,0.0967741935483871,Other,93,4
Indomitable France,0.4851063829787234,Left-wing,235,4
New Centre,0.2153846153846154,Other,130,4
Democratic Mouvement,0.3365384615384615,Right-wing,208,4
Left Front,0.254320987654321,Left-wing,405,4
Radical Party,0.2360248447204969,Right-wing,161,4
Republic Onwards!,0.1720430107526881,Other,93,4
Union for a Popular Movement,0.2612137203166227,Right-wing,379,4
National Front,0.3734335839598997,Right-wing,399,4
The Greens,0.2900188323917137,Left-wing,531,4
Debout la France,0.2427536231884058,Right-wing,552,4
Nouveau Parti Anticapitaliste,0.4766839378238341,Left-wing,193,4
French Communist Party,0.2311977715877437,Left-wing,359,4
Resistons,0.1359649122807017,Left-wing,228,4
Union of Democrats and Independents,0.1650485436893204,Right-wing,103,5
Socialist Party,0.1589041095890411,Left-wing,365,5
Left Radical Party,0.1564102564102564,Left-wing,390,5
Centrist Alliance,0.1727941176470588,Other,272,5
New Centre,0.0718954248366013,Other,153,5
Democratic Mouvement,0.1412844036697247,Right-wing,545,5
Union for a Popular Movement,0.1041666666666666,Right-wing,144,5
Left Front,0.2215189873417721,Left-wing,158,5
Radical Party,0.1015625,Right-wing,128,5
Republic Onwards!,0.1709401709401709,Other,117,5
Indomitable France,0.6710526315789473,Left-wing,76,5
National Front,0.4044117647058823,Right-wing,544,5
The Greens,0.1293279022403258,Left-wing,982,5
Debout la France,0.2010869565217391,Right-wing,552,5
Nouveau Parti Anticapitaliste,0.3659574468085106,Left-wing,235,5
French Communist Party,0.2244143033292231,Left-wing,811,5
Resistons,0.1538461538461538,Left-wing,39,5
Socialist Party,0.3856088560885609,Left-wing,542,6
Union of Democrats and Independents,0.4928571428571429,Right-wing,140,6
Left Radical Party,0.4219409282700422,Left-wing,237,6
Centrist Alliance,0.3225806451612903,Other,31,6
Indomitable France,0.5844155844155844,Left-wing,77,6
New Centre,0.3243243243243243,Other,111,6
Democratic Mouvement,0.4143222506393862,Right-wing,391,6
Left Front,0.26,Left-wing,50,6
Radical Party,0.4728682170542636,Right-wing,129,6
Republic Onwards!,0.3536585365853658,Other,246,6
Union for a Popular Movement,0.3466666666666667,Right-wing,375,6
National Front,0.603641456582633,Right-wing,714,6
