party,year,score,orientation,counts,random_state
Alliance‘90-Greens,2013,0.2746478873239437,Left-wing,142,0
Christian Democratic Union-Christian Social Union,2002,0.3273542600896861,Right-wing,446,0
Free Democratic Party,2009,0.2088235294117647,Right-wing,340,0
Christian Democratic Union-Christian Social Union,2017,0.3306666666666666,Right-wing,375,0
Alliance‘90-Greens,2005,0.3603238866396761,Left-wing,247,0
The Left,2009,0.4153132250580046,Left-wing,431,0
Social Democratic Party of Germany,2013,0.4070631970260223,Left-wing,538,0
Free Democratic Party,2002,0.2535612535612536,Right-wing,351,0
Social Democratic Party of Germany,2005,0.2900763358778626,Left-wing,393,0
Alternative for Germany,2017,0.4360655737704918,Right-wing,305,0
Christian Democratic Union-Christian Social Union,2005,0.2826086956521739,Right-wing,230,0
Alliance‘90-Greens,2017,0.2617283950617284,Left-wing,405,0
Social Democratic Party of Germany,2009,0.4020618556701031,Left-wing,679,0
Party of Democratic Socialism,2002,0.3052631578947368,Left-wing,190,0
The Left,2017,0.4537037037037037,Left-wing,864,0
Social Democratic Party of Germany,2002,0.1932773109243697,Left-wing,238,0
Party of Democratic Socialism,2005,0.2714285714285714,Left-wing,280,0
Social Democratic Party of Germany,2017,0.3155339805825243,Left-wing,206,0
Alternative for Germany,2013,0.3122362869198312,Right-wing,237,0
The Left,2013,0.2664835164835165,Left-wing,364,0
Christian Democratic Union-Christian Social Union,2013,0.2773109243697479,Right-wing,119,0
Free Democratic Party,2013,0.3277591973244147,Right-wing,299,0
Christian Democratic Union-Christian Social Union,2009,0.2284946236559139,Right-wing,372,0
Free Democratic Party,2017,0.2888888888888888,Right-wing,135,0
Free Democratic Party,2005,0.294478527607362,Right-wing,163,0
Alliance‘90-Greens,2002,0.2584269662921348,Left-wing,89,0
Alliance‘90-Greens,2009,0.1538461538461538,Left-wing,13,0
Pirates,2013,0.2989021956087824,Other,2004,0
Free Democratic Party,2005,0.3116883116883117,Right-wing,231,1
Alliance‘90-Greens,2002,0.275,Left-wing,360,1
Free Democratic Party,2002,0.3479381443298969,Right-wing,388,1
The Left,2013,0.5046948356807511,Left-wing,852,1
Alliance‘90-Greens,2009,0.1962025316455696,Left-wing,158,1
Social Democratic Party of Germany,2005,0.1955307262569832,Left-wing,358,1
Social Democratic Party of Germany,2017,0.3166666666666666,Left-wing,360,1
The Left,2009,0.4308510638297872,Left-wing,188,1
Free Democratic Party,2017,0.4454545454545454,Right-wing,550,1
Party of Democratic Socialism,2002,0.3100775193798449,Left-wing,258,1
Christian Democratic Union-Christian Social Union,2013,0.2541254125412541,Right-wing,606,1
Christian Democratic Union-Christian Social Union,2002,0.3861386138613861,Right-wing,404,1
