party,score,orientation,counts,random_state
We can,0.4635527246992215,Left-wing,1413,0
In Common We Can,0.7517241379310344,Left-wing,1015,0
Democracy and Freedom,0.0830815709969788,Right-wing,662,0
People's Party,0.1877300613496932,Right-wing,4890,0
Compromis,0.144,Left-wing,125,0
Convergence and Union,0.0481744421906693,Other,1972,0
"Union, Progress and Democracy",0.0572597137014314,Other,1467,0
Popular Unity,0.8229299363057325,Left-wing,785,0
Spanish Socialist Workers’ Party,0.2604412923561859,Left-wing,2538,0
United Left,0.0390143737166324,Left-wing,974,0
United We Can,0.84,Left-wing,100,0
Commitment-We can-It is time,0.0613060861839182,Left-wing,2251,0
Democratic Convergence of Catalonia,0.8146616541353383,Right-wing,2660,0
Citizens,0.0884427563754747,Right-wing,7372,0
We can,0.5060012634238787,Left-wing,1583,1
In Common We Can,0.482981220657277,Left-wing,1704,1
Democracy and Freedom,0.2974781266083376,Right-wing,1943,1
Compromis,0.3389724310776942,Left-wing,1596,1
People's Party,0.3444676409185804,Right-wing,2395,1
Convergence and Union,0.1563483735571878,Other,953,1
"Union, Progress and Democracy",0.284789644012945,Other,618,1
Popular Unity,0.3407134071340713,Left-wing,813,1
Spanish Socialist Workers’ Party,0.2965695315381778,Left-wing,2711,1
United Left,0.3416102332580888,Left-wing,1329,1
United We Can,0.1635514018691588,Left-wing,642,1
Commitment-We can-It is time,0.3441582680104517,Left-wing,2679,1
Democratic Convergence of Catalonia,0.3568209750102417,Right-wing,4882,1
Citizens,0.3276345291479821,Right-wing,3568,1
We can,0.6017130620985011,Left-wing,1868,2
In Common We Can,0.544264819091609,Left-wing,1299,2
Democracy and Freedom,0.027061855670103,Right-wing,776,2
People's Party,0.2050811943425877,Right-wing,3818,2
Compromis,0.8078817733990148,Left-wing,812,2
Convergence and Union,0.3095238095238095,Other,336,2
"Union, Progress and Democracy",0.0533333333333333,Other,675,2
Popular Unity,0.056910569105691,Left-wing,123,2
Spanish Socialist Workers’ Party,0.32140978432404,Left-wing,1901,2
United Left,0.0417401528512639,Left-wing,1701,2
United We Can,0.038994356080041,Left-wing,1949,2
Commitment-We can-It is time,0.0344036697247706,Left-wing,872,2
Democratic Convergence of Catalonia,0.0807726075504828,Right-wing,2278,2
Citizens,0.0617056709615216,Right-wing,11409,2
We can,0.2524271844660194,Left-wing,515,3
In Common We Can,0.800557880055788,Left-wing,717,3
Democracy and Freedom,0.2727272727272727,Right-wing,44,3
People's Party,0.2841803865425912,Right-wing,2794,3
Convergence and Union,0.2447349310094408,Other,2754,3
Compromis,0.0769230769230769,Left-wing,754,3
"Union, Progress and Democracy",0.1599402092675635,Other,669,3
Popular Unity,0.166189111747851,Left-wing,349,3
Spanish Socialist Workers’ Party,0.2453715132066156,Left-wing,4051,3
United Left,0.1095627102354637,Left-wing,2081,3
United We Can,0.5714285714285714,Left-wing,112,3
Commitment-We can-It is time,0.1462609970674487,Left-wing,5456,3
Democratic Convergence of Catalonia,0.5505563618771165,Right-wing,2067,3
Citizens,0.0866057658085182,Right-wing,8429,3
We can,0.4846625766871165,Left-wing,1467,4
In Common We Can,0.6348773841961853,Left-wing,2202,4
Democracy and Freedom,0.0251968503937007,Right-wing,635,4
People's Party,0.3476253298153034,Right-wing,1516,4
Convergence and Union,0.401328903654485,Other,1505,4
Compromis,0.0283140283140283,Left-wing,777,4
